model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9563030143079901,22,0.9550950503363516,190.5579056739807
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.6595627989897948,49,0.6477042267403251,1356.1273653507233
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.1726107895887769,15,0.007405111548144499,697.6046342849731
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.015249654437095656,425.2912046909332
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.011949369902715815,426.1992230415344
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.8344408006621151,1,0.803426260970168,111.09842443466187
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.6965659721377169,30,0.6984650243777011,964.5806484222412
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.15208287725596178,4,0.013609542700057585,503.18043279647827
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.057090963566722976,422.9656434059143
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.026212810794933795,425.64060163497925
