model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9573580358512702,12,0.8351336095142532,220.37509679794312
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.6157087725636352,35,0.6233609630007674,1170.8884029388428
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.14127842320240552,20,0.007162625403033776,871.0095500946045
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.0838685335448245,458.1437840461731
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.015585112269715824,442.2280750274658
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9637219794873588,3,0.9669189650956675,155.45843052864075
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.49781256732259543,11,0.21579398248184817,674.9050426483154
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.3144202695608984,27,0.31025869817994184,1017.4517188072205
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.03068986310012621,443.5183207988739
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.023462339902870947,443.17604994773865
