model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9640646447719159,1,0.9564570619845392,125.25674438476562
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.4964945622383015,30,0.4064193246095595,1075.438852071762
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.3020246234263705,29,0.2634503572334605,1062.590960741043
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.01030274717414039,452.9301187992096
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.006872695591291214,452.1604745388031
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9649981304219041,11,0.8668746642430354,211.54862928390503
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.6522194465980832,40,0.552925645425833,1321.4410662651062
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.2803822543819257,2,0.15391785826249013,514.6899516582489
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.055712931674048276,454.70745158195496
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.022090250313145817,469.8207175731659
