model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9601202836384203,69,0.9521167879332652,463.7480342388153
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.6488059347196384,11,0.6455407652615985,629.8883473873138
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.2904349415357246,33,0.26903273942184275,1161.7022199630737
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.03264787279546739,429.8383729457855
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.053293388832805905,434.378338098526
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.8325799029803521,8,0.8376091403172069,163.02615332603455
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.36063381368027986,14,0.26254971708396263,722.2860903739929
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.3776455043378223,80,0.36046173826215516,1982.1288528442383
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.057351601813383016,428.8720018863678
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.01478824524114025,436.3186728954315
